City,State,Date,Protest
Albuquerque,New Mexico,2020-05-26,0
Albuquerque,New Mexico,2020-05-27,1
Albuquerque,New Mexico,2020-05-28,1
Albuquerque,New Mexico,2020-05-29,1
Albuquerque,New Mexico,2020-05-30,1
Albuquerque,New Mexico,2020-05-31,1
Albuquerque,New Mexico,2020-06-01,1
Albuquerque,New Mexico,2020-06-02,0
Albuquerque,New Mexico,2020-06-03,0
Albuquerque,New Mexico,2020-06-04,0
Albuquerque,New Mexico,2020-06-05,0
Alexandria,Louisiana,2020-05-26,0
Alexandria,Louisiana,2020-05-27,0
Alexandria,Louisiana,2020-05-28,0
Alexandria,Louisiana,2020-05-29,0
Alexandria,Louisiana,2020-05-30,0
Alexandria,Louisiana,2020-05-31,1
Alexandria,Louisiana,2020-06-01,0
Alexandria,Louisiana,2020-06-02,0
Alexandria,Louisiana,2020-06-03,0
Alexandria,Louisiana,2020-06-04,0
Alexandria,Louisiana,2020-06-05,0
Ames,Iowa,2020-05-26,0
Ames,Iowa,2020-05-27,0
Ames,Iowa,2020-05-28,0
Ames,Iowa,2020-05-29,0
Ames,Iowa,2020-05-30,1
Ames,Iowa,2020-05-31,0
Ames,Iowa,2020-06-01,0
Ames,Iowa,2020-06-02,0
Ames,Iowa,2020-06-03,0
Ames,Iowa,2020-06-04,0
Ames,Iowa,2020-06-05,0
Anaheim,California,2020-05-26,0
Anaheim,California,2020-05-27,0
Anaheim,California,2020-05-28,0
Anaheim,California,2020-05-29,0
Anaheim,California,2020-05-30,0
Anaheim,California,2020-05-31,0
Anaheim,California,2020-06-01,1
Anaheim,California,2020-06-02,0
Anaheim,California,2020-06-03,0
Anaheim,California,2020-06-04,0
Anaheim,California,2020-06-05,0
Anchorage,Alaska,2020-05-26,0
Anchorage,Alaska,2020-05-27,0
Anchorage,Alaska,2020-05-28,0
Anchorage,Alaska,2020-05-29,0
Anchorage,Alaska,2020-05-30,1
Anchorage,Alaska,2020-05-31,0
Anchorage,Alaska,2020-06-01,0
Anchorage,Alaska,2020-06-02,0
Anchorage,Alaska,2020-06-03,0
Anchorage,Alaska,2020-06-04,0
Anchorage,Alaska,2020-06-05,0
Anderson,Indiana,2020-05-26,0
Anderson,Indiana,2020-05-27,0
Anderson,Indiana,2020-05-28,0
Anderson,Indiana,2020-05-29,0
Anderson,Indiana,2020-05-30,1
Anderson,Indiana,2020-05-31,0
Anderson,Indiana,2020-06-01,0
Anderson,Indiana,2020-06-02,0
Anderson,Indiana,2020-06-03,0
Anderson,Indiana,2020-06-04,0
Anderson,Indiana,2020-06-05,0
Anniston,Alabama,2020-05-26,0
Anniston,Alabama,2020-05-27,0
Anniston,Alabama,2020-05-28,0
Anniston,Alabama,2020-05-29,0
Anniston,Alabama,2020-05-30,0
Anniston,Alabama,2020-05-31,0
Anniston,Alabama,2020-06-01,1
Anniston,Alabama,2020-06-02,1
Anniston,Alabama,2020-06-03,0
Anniston,Alabama,2020-06-04,0
Anniston,Alabama,2020-06-05,0
Apple Valley,California,2020-05-26,0
Apple Valley,California,2020-05-27,0
Apple Valley,California,2020-05-28,0
Apple Valley,California,2020-05-29,0
Apple Valley,California,2020-05-30,0
Apple Valley,California,2020-05-31,0
Apple Valley,California,2020-06-01,0
Apple Valley,California,2020-06-02,0
Apple Valley,California,2020-06-03,1
Apple Valley,California,2020-06-04,0
Apple Valley,California,2020-06-05,0
Appleton,Wisconsin,2020-05-26,0
Appleton,Wisconsin,2020-05-27,0
Appleton,Wisconsin,2020-05-28,0
Appleton,Wisconsin,2020-05-29,0
Appleton,Wisconsin,2020-05-30,1
Appleton,Wisconsin,2020-05-31,1
Appleton,Wisconsin,2020-06-01,0
Appleton,Wisconsin,2020-06-02,0
Appleton,Wisconsin,2020-06-03,0
Appleton,Wisconsin,2020-06-04,0
Appleton,Wisconsin,2020-06-05,0
Asheville,North Carolina,2020-05-26,0
Asheville,North Carolina,2020-05-27,0
Asheville,North Carolina,2020-05-28,0
Asheville,North Carolina,2020-05-29,0
Asheville,North Carolina,2020-05-30,0
Asheville,North Carolina,2020-05-31,1
Asheville,North Carolina,2020-06-01,0
Asheville,North Carolina,2020-06-02,1
Asheville,North Carolina,2020-06-03,0
Asheville,North Carolina,2020-06-04,0
Asheville,North Carolina,2020-06-05,0
Ashland,Alabama,2020-05-26,0
Ashland,Alabama,2020-05-27,0
Ashland,Alabama,2020-05-28,0
Ashland,Alabama,2020-05-29,0
Ashland,Alabama,2020-05-30,0
Ashland,Alabama,2020-05-31,0
Ashland,Alabama,2020-06-01,0
Ashland,Alabama,2020-06-02,1
Ashland,Alabama,2020-06-03,0
Ashland,Alabama,2020-06-04,0
Ashland,Alabama,2020-06-05,0
Atlanta,Georgia,2020-05-26,0
Atlanta,Georgia,2020-05-27,1
Atlanta,Georgia,2020-05-28,1
Atlanta,Georgia,2020-05-29,1
Atlanta,Georgia,2020-05-30,1
Atlanta,Georgia,2020-05-31,1
Atlanta,Georgia,2020-06-01,0
Atlanta,Georgia,2020-06-02,0
Atlanta,Georgia,2020-06-03,1
Atlanta,Georgia,2020-06-04,0
Atlanta,Georgia,2020-06-05,0
Auburn,Alabama,2020-05-26,0
Auburn,Alabama,2020-05-27,0
Auburn,Alabama,2020-05-28,0
Auburn,Alabama,2020-05-29,0
Auburn,Alabama,2020-05-30,0
Auburn,Alabama,2020-05-31,1
Auburn,Alabama,2020-06-01,0
Auburn,Alabama,2020-06-02,0
Auburn,Alabama,2020-06-03,0
Auburn,Alabama,2020-06-04,0
Auburn,Alabama,2020-06-05,0
Aurora,Illinois,2020-05-26,0
Aurora,Illinois,2020-05-27,0
Aurora,Illinois,2020-05-28,0
Aurora,Illinois,2020-05-29,0
Aurora,Illinois,2020-05-30,0
Aurora,Illinois,2020-05-31,1
Aurora,Illinois,2020-06-01,0
Aurora,Illinois,2020-06-02,0
Aurora,Illinois,2020-06-03,0
Aurora,Illinois,2020-06-04,0
Aurora,Illinois,2020-06-05,0
Austin,Texas,2020-05-26,0
Austin,Texas,2020-05-27,1
Austin,Texas,2020-05-28,1
Austin,Texas,2020-05-29,1
Austin,Texas,2020-05-30,1
Austin,Texas,2020-05-31,1
Austin,Texas,2020-06-01,0
Austin,Texas,2020-06-02,0
Austin,Texas,2020-06-03,0
Austin,Texas,2020-06-04,0
Austin,Texas,2020-06-05,0
Bakersfield,California,2020-05-26,0
Bakersfield,California,2020-05-27,0
Bakersfield,California,2020-05-28,0
Bakersfield,California,2020-05-29,0
Bakersfield,California,2020-05-30,1
Bakersfield,California,2020-05-31,0
Bakersfield,California,2020-06-01,0
Bakersfield,California,2020-06-02,0
Bakersfield,California,2020-06-03,0
Bakersfield,California,2020-06-04,0
Bakersfield,California,2020-06-05,0
Baltimore,Maryland,2020-05-26,0
Baltimore,Maryland,2020-05-27,0
Baltimore,Maryland,2020-05-28,0
Baltimore,Maryland,2020-05-29,0
Baltimore,Maryland,2020-05-30,1
Baltimore,Maryland,2020-05-31,0
Baltimore,Maryland,2020-06-01,1
Baltimore,Maryland,2020-06-02,0
Baltimore,Maryland,2020-06-03,0
Baltimore,Maryland,2020-06-04,0
Baltimore,Maryland,2020-06-05,0
Bangor,Maine,2020-05-26,0
Bangor,Maine,2020-05-27,0
Bangor,Maine,2020-05-28,0
Bangor,Maine,2020-05-29,0
Bangor,Maine,2020-05-30,0
Bangor,Maine,2020-05-31,1
Bangor,Maine,2020-06-01,1
Bangor,Maine,2020-06-02,0
Bangor,Maine,2020-06-03,0
Bangor,Maine,2020-06-04,0
Bangor,Maine,2020-06-05,0
Baton Rouge,Louisiana,2020-05-26,0
Baton Rouge,Louisiana,2020-05-27,0
Baton Rouge,Louisiana,2020-05-28,0
Baton Rouge,Louisiana,2020-05-29,0
Baton Rouge,Louisiana,2020-05-30,1
Baton Rouge,Louisiana,2020-05-31,1
Baton Rouge,Louisiana,2020-06-01,1
Baton Rouge,Louisiana,2020-06-02,1
Baton Rouge,Louisiana,2020-06-03,0
Baton Rouge,Louisiana,2020-06-04,0
Baton Rouge,Louisiana,2020-06-05,0
Beaufort,North Carolina,2020-05-26,0
Beaufort,North Carolina,2020-05-27,0
Beaufort,North Carolina,2020-05-28,0
Beaufort,North Carolina,2020-05-29,0
Beaufort,North Carolina,2020-05-30,0
Beaufort,North Carolina,2020-05-31,0
Beaufort,North Carolina,2020-06-01,0
Beaufort,North Carolina,2020-06-02,1
Beaufort,North Carolina,2020-06-03,0
Beaufort,North Carolina,2020-06-04,0
Beaufort,North Carolina,2020-06-05,0
Beaver Dam,Wisconsin,2020-05-26,0
Beaver Dam,Wisconsin,2020-05-27,0
Beaver Dam,Wisconsin,2020-05-28,0
Beaver Dam,Wisconsin,2020-05-29,0
Beaver Dam,Wisconsin,2020-05-30,0
Beaver Dam,Wisconsin,2020-05-31,0
Beaver Dam,Wisconsin,2020-06-01,0
Beaver Dam,Wisconsin,2020-06-02,0
Beaver Dam,Wisconsin,2020-06-03,1
Beaver Dam,Wisconsin,2020-06-04,0
Beaver Dam,Wisconsin,2020-06-05,0
Beckley,West Virginia,2020-05-26,0
Beckley,West Virginia,2020-05-27,0
Beckley,West Virginia,2020-05-28,0
Beckley,West Virginia,2020-05-29,0
Beckley,West Virginia,2020-05-30,0
Beckley,West Virginia,2020-05-31,1
Beckley,West Virginia,2020-06-01,0
Beckley,West Virginia,2020-06-02,0
Beckley,West Virginia,2020-06-03,0
Beckley,West Virginia,2020-06-04,0
Beckley,West Virginia,2020-06-05,0
Belfast,Maine,2020-05-26,0
Belfast,Maine,2020-05-27,0
Belfast,Maine,2020-05-28,0
Belfast,Maine,2020-05-29,0
Belfast,Maine,2020-05-30,0
Belfast,Maine,2020-05-31,1
Belfast,Maine,2020-06-01,0
Belfast,Maine,2020-06-02,0
Belfast,Maine,2020-06-03,0
Belfast,Maine,2020-06-04,0
Belfast,Maine,2020-06-05,0
Bentonville,Arkansas,2020-05-26,0
Bentonville,Arkansas,2020-05-27,0
Bentonville,Arkansas,2020-05-28,0
Bentonville,Arkansas,2020-05-29,0
Bentonville,Arkansas,2020-05-30,0
Bentonville,Arkansas,2020-05-31,0
Bentonville,Arkansas,2020-06-01,1
Bentonville,Arkansas,2020-06-02,0
Bentonville,Arkansas,2020-06-03,0
Bentonville,Arkansas,2020-06-04,0
Bentonville,Arkansas,2020-06-05,0
Bethel,Alaska,2020-05-26,0
Bethel,Alaska,2020-05-27,0
Bethel,Alaska,2020-05-28,0
Bethel,Alaska,2020-05-29,0
Bethel,Alaska,2020-05-30,0
Bethel,Alaska,2020-05-31,0
Bethel,Alaska,2020-06-01,0
Bethel,Alaska,2020-06-02,1
Bethel,Alaska,2020-06-03,0
Bethel,Alaska,2020-06-04,0
Bethel,Alaska,2020-06-05,0
Bethesda,Maryland,2020-05-26,0
Bethesda,Maryland,2020-05-27,0
Bethesda,Maryland,2020-05-28,0
Bethesda,Maryland,2020-05-29,0
Bethesda,Maryland,2020-05-30,0
Bethesda,Maryland,2020-05-31,0
Bethesda,Maryland,2020-06-01,0
Bethesda,Maryland,2020-06-02,1
Bethesda,Maryland,2020-06-03,0
Bethesda,Maryland,2020-06-04,0
Bethesda,Maryland,2020-06-05,0
Big Rapids,Michigan,2020-05-26,0
Big Rapids,Michigan,2020-05-27,0
Big Rapids,Michigan,2020-05-28,0
Big Rapids,Michigan,2020-05-29,0
Big Rapids,Michigan,2020-05-30,0
Big Rapids,Michigan,2020-05-31,0
Big Rapids,Michigan,2020-06-01,0
Big Rapids,Michigan,2020-06-02,0
Big Rapids,Michigan,2020-06-03,1
Big Rapids,Michigan,2020-06-04,0
Big Rapids,Michigan,2020-06-05,0
Billings,Montana,2020-05-26,0
Billings,Montana,2020-05-27,0
Billings,Montana,2020-05-28,0
Billings,Montana,2020-05-29,0
Billings,Montana,2020-05-30,1
Billings,Montana,2020-05-31,1
Billings,Montana,2020-06-01,0
Billings,Montana,2020-06-02,0
Billings,Montana,2020-06-03,0
Billings,Montana,2020-06-04,0
Billings,Montana,2020-06-05,0
Biloxi,Mississippi,2020-05-26,0
Biloxi,Mississippi,2020-05-27,0
Biloxi,Mississippi,2020-05-28,0
Biloxi,Mississippi,2020-05-29,0
Biloxi,Mississippi,2020-05-30,1
Biloxi,Mississippi,2020-05-31,1
Biloxi,Mississippi,2020-06-01,0
Biloxi,Mississippi,2020-06-02,0
Biloxi,Mississippi,2020-06-03,0
Biloxi,Mississippi,2020-06-04,0
Biloxi,Mississippi,2020-06-05,0
Binghamton,New York,2020-05-26,0
Binghamton,New York,2020-05-27,0
Binghamton,New York,2020-05-28,0
Binghamton,New York,2020-05-29,0
Binghamton,New York,2020-05-30,0
Binghamton,New York,2020-05-31,0
Binghamton,New York,2020-06-01,0
Binghamton,New York,2020-06-02,1
Binghamton,New York,2020-06-03,0
Binghamton,New York,2020-06-04,0
Binghamton,New York,2020-06-05,0
Birmingham,Alabama,2020-05-26,0
Birmingham,Alabama,2020-05-27,0
Birmingham,Alabama,2020-05-28,0
Birmingham,Alabama,2020-05-29,0
Birmingham,Alabama,2020-05-30,0
Birmingham,Alabama,2020-05-31,1
Birmingham,Alabama,2020-06-01,1
Birmingham,Alabama,2020-06-02,1
Birmingham,Alabama,2020-06-03,0
Birmingham,Alabama,2020-06-04,0
Birmingham,Alabama,2020-06-05,0
Bismarck,North Dakota,2020-05-26,0
Bismarck,North Dakota,2020-05-27,0
Bismarck,North Dakota,2020-05-28,0
Bismarck,North Dakota,2020-05-29,0
Bismarck,North Dakota,2020-05-30,1
Bismarck,North Dakota,2020-05-31,0
Bismarck,North Dakota,2020-06-01,0
Bismarck,North Dakota,2020-06-02,0
Bismarck,North Dakota,2020-06-03,0
Bismarck,North Dakota,2020-06-04,0
Bismarck,North Dakota,2020-06-05,0
Boise,Idaho,2020-05-26,0
Boise,Idaho,2020-05-27,0
Boise,Idaho,2020-05-28,0
Boise,Idaho,2020-05-29,0
Boise,Idaho,2020-05-30,1
Boise,Idaho,2020-05-31,1
Boise,Idaho,2020-06-01,1
Boise,Idaho,2020-06-02,1
Boise,Idaho,2020-06-03,1
Boise,Idaho,2020-06-04,0
Boise,Idaho,2020-06-05,0
Boston,Massachusetts,2020-05-26,0
Boston,Massachusetts,2020-05-27,1
Boston,Massachusetts,2020-05-28,1
Boston,Massachusetts,2020-05-29,1
Boston,Massachusetts,2020-05-30,1
Boston,Massachusetts,2020-05-31,1
Boston,Massachusetts,2020-06-01,0
Boston,Massachusetts,2020-06-02,1
Boston,Massachusetts,2020-06-03,1
Boston,Massachusetts,2020-06-04,0
Boston,Massachusetts,2020-06-05,0
Bowling Green,Kentucky,2020-05-26,0
Bowling Green,Kentucky,2020-05-27,0
Bowling Green,Kentucky,2020-05-28,0
Bowling Green,Kentucky,2020-05-29,1
Bowling Green,Kentucky,2020-05-30,0
Bowling Green,Kentucky,2020-05-31,0
Bowling Green,Kentucky,2020-06-01,0
Bowling Green,Kentucky,2020-06-02,0
Bowling Green,Kentucky,2020-06-03,0
Bowling Green,Kentucky,2020-06-04,0
Bowling Green,Kentucky,2020-06-05,0
Bozeman,Montana,2020-05-26,0
Bozeman,Montana,2020-05-27,0
Bozeman,Montana,2020-05-28,0
Bozeman,Montana,2020-05-29,0
Bozeman,Montana,2020-05-30,0
Bozeman,Montana,2020-05-31,1
Bozeman,Montana,2020-06-01,0
Bozeman,Montana,2020-06-02,0
Bozeman,Montana,2020-06-03,0
Bozeman,Montana,2020-06-04,0
Bozeman,Montana,2020-06-05,0
Brattleboro,Vermont,2020-05-26,0
Brattleboro,Vermont,2020-05-27,0
Brattleboro,Vermont,2020-05-28,0
Brattleboro,Vermont,2020-05-29,0
Brattleboro,Vermont,2020-05-30,1
Brattleboro,Vermont,2020-05-31,1
Brattleboro,Vermont,2020-06-01,0
Brattleboro,Vermont,2020-06-02,0
Brattleboro,Vermont,2020-06-03,0
Brattleboro,Vermont,2020-06-04,0
Brattleboro,Vermont,2020-06-05,0
Bridgeport,Connecticut,2020-05-26,0
Bridgeport,Connecticut,2020-05-27,0
Bridgeport,Connecticut,2020-05-28,0
Bridgeport,Connecticut,2020-05-29,0
Bridgeport,Connecticut,2020-05-30,1
Bridgeport,Connecticut,2020-05-31,0
Bridgeport,Connecticut,2020-06-01,0
Bridgeport,Connecticut,2020-06-02,0
Bridgeport,Connecticut,2020-06-03,0
Bridgeport,Connecticut,2020-06-04,0
Bridgeport,Connecticut,2020-06-05,0
Bristol,New Hampshire,2020-05-26,0
Bristol,New Hampshire,2020-05-27,0
Bristol,New Hampshire,2020-05-28,0
Bristol,New Hampshire,2020-05-29,0
Bristol,New Hampshire,2020-05-30,0
Bristol,New Hampshire,2020-05-31,0
Bristol,New Hampshire,2020-06-01,0
Bristol,New Hampshire,2020-06-02,0
Bristol,New Hampshire,2020-06-03,1
Bristol,New Hampshire,2020-06-04,0
Bristol,New Hampshire,2020-06-05,0
Brownsville,Texas,2020-05-26,0
Brownsville,Texas,2020-05-27,0
Brownsville,Texas,2020-05-28,0
Brownsville,Texas,2020-05-29,0
Brownsville,Texas,2020-05-30,0
Brownsville,Texas,2020-05-31,0
Brownsville,Texas,2020-06-01,0
Brownsville,Texas,2020-06-02,0
Brownsville,Texas,2020-06-03,1
Brownsville,Texas,2020-06-04,0
Brownsville,Texas,2020-06-05,0
Brownwood,Texas,2020-05-26,0
Brownwood,Texas,2020-05-27,0
Brownwood,Texas,2020-05-28,0
Brownwood,Texas,2020-05-29,0
Brownwood,Texas,2020-05-30,0
Brownwood,Texas,2020-05-31,0
Brownwood,Texas,2020-06-01,1
Brownwood,Texas,2020-06-02,0
Brownwood,Texas,2020-06-03,0
Brownwood,Texas,2020-06-04,0
Brownwood,Texas,2020-06-05,0
Brunswick,Maine,2020-05-26,0
Brunswick,Maine,2020-05-27,0
Brunswick,Maine,2020-05-28,0
Brunswick,Maine,2020-05-29,0
Brunswick,Maine,2020-05-30,0
Brunswick,Maine,2020-05-31,0
Brunswick,Maine,2020-06-01,0
Brunswick,Maine,2020-06-02,0
Brunswick,Maine,2020-06-03,1
Brunswick,Maine,2020-06-04,0
Brunswick,Maine,2020-06-05,0
Buffalo,New York,2020-05-26,0
Buffalo,New York,2020-05-27,1
Buffalo,New York,2020-05-28,1
Buffalo,New York,2020-05-29,1
Buffalo,New York,2020-05-30,1
Buffalo,New York,2020-05-31,1
Buffalo,New York,2020-06-01,1
Buffalo,New York,2020-06-02,0
Buffalo,New York,2020-06-03,0
Buffalo,New York,2020-06-04,0
Buffalo,New York,2020-06-05,0
Burlington,Vermont,2020-05-26,0
Burlington,Vermont,2020-05-27,0
Burlington,Vermont,2020-05-28,0
Burlington,Vermont,2020-05-29,0
Burlington,Vermont,2020-05-30,1
Burlington,Vermont,2020-05-31,0
Burlington,Vermont,2020-06-01,0
Burlington,Vermont,2020-06-02,0
Burlington,Vermont,2020-06-03,0
Burlington,Vermont,2020-06-04,0
Burlington,Vermont,2020-06-05,0
Burlington,Washington,2020-05-26,0
Burlington,Washington,2020-05-27,0
Burlington,Washington,2020-05-28,0
Burlington,Washington,2020-05-29,0
Burlington,Washington,2020-05-30,0
Burlington,Washington,2020-05-31,0
Burlington,Washington,2020-06-01,0
Burlington,Washington,2020-06-02,0
Burlington,Washington,2020-06-03,0
Burlington,Washington,2020-06-04,1
Burlington,Washington,2020-06-05,0
Camden,Maine,2020-05-26,0
Camden,Maine,2020-05-27,0
Camden,Maine,2020-05-28,0
Camden,Maine,2020-05-29,0
Camden,Maine,2020-05-30,0
Camden,Maine,2020-05-31,0
Camden,Maine,2020-06-01,0
Camden,Maine,2020-06-02,0
Camden,Maine,2020-06-03,1
Camden,Maine,2020-06-04,0
Camden,Maine,2020-06-05,0
Camden,New Jersey,2020-05-26,0
Camden,New Jersey,2020-05-27,0
Camden,New Jersey,2020-05-28,0
Camden,New Jersey,2020-05-29,0
Camden,New Jersey,2020-05-30,1
Camden,New Jersey,2020-05-31,0
Camden,New Jersey,2020-06-01,0
Camden,New Jersey,2020-06-02,0
Camden,New Jersey,2020-06-03,0
Camden,New Jersey,2020-06-04,0
Camden,New Jersey,2020-06-05,0
Cape Girardeau,Missouri,2020-05-26,0
Cape Girardeau,Missouri,2020-05-27,0
Cape Girardeau,Missouri,2020-05-28,0
Cape Girardeau,Missouri,2020-05-29,0
Cape Girardeau,Missouri,2020-05-30,0
Cape Girardeau,Missouri,2020-05-31,1
Cape Girardeau,Missouri,2020-06-01,0
Cape Girardeau,Missouri,2020-06-02,0
Cape Girardeau,Missouri,2020-06-03,0
Cape Girardeau,Missouri,2020-06-04,0
Cape Girardeau,Missouri,2020-06-05,0
Carlisle,Pennsylvania,2020-05-26,0
Carlisle,Pennsylvania,2020-05-27,0
Carlisle,Pennsylvania,2020-05-28,0
Carlisle,Pennsylvania,2020-05-29,0
Carlisle,Pennsylvania,2020-05-30,0
Carlisle,Pennsylvania,2020-05-31,0
Carlisle,Pennsylvania,2020-06-01,0
Carlisle,Pennsylvania,2020-06-02,0
Carlisle,Pennsylvania,2020-06-03,1
Carlisle,Pennsylvania,2020-06-04,0
Carlisle,Pennsylvania,2020-06-05,0
Carlsbad,New Mexico,2020-05-26,0
Carlsbad,New Mexico,2020-05-27,0
Carlsbad,New Mexico,2020-05-28,0
Carlsbad,New Mexico,2020-05-29,0
Carlsbad,New Mexico,2020-05-30,1
Carlsbad,New Mexico,2020-05-31,0
Carlsbad,New Mexico,2020-06-01,0
Carlsbad,New Mexico,2020-06-02,0
Carlsbad,New Mexico,2020-06-03,0
Carlsbad,New Mexico,2020-06-04,0
Carlsbad,New Mexico,2020-06-05,0
Carmel,Indiana,2020-05-26,0
Carmel,Indiana,2020-05-27,0
Carmel,Indiana,2020-05-28,0
Carmel,Indiana,2020-05-29,0
Carmel,Indiana,2020-05-30,0
Carmel,Indiana,2020-05-31,0
Carmel,Indiana,2020-06-01,1
Carmel,Indiana,2020-06-02,0
Carmel,Indiana,2020-06-03,0
Carmel,Indiana,2020-06-04,0
Carmel,Indiana,2020-06-05,0
Cedar City,Utah,2020-05-26,0
Cedar City,Utah,2020-05-27,0
Cedar City,Utah,2020-05-28,0
Cedar City,Utah,2020-05-29,0
Cedar City,Utah,2020-05-30,0
Cedar City,Utah,2020-05-31,1
Cedar City,Utah,2020-06-01,0
Cedar City,Utah,2020-06-02,0
Cedar City,Utah,2020-06-03,0
Cedar City,Utah,2020-06-04,0
Cedar City,Utah,2020-06-05,0
Cedar Rapids,Iowa,2020-05-26,0
Cedar Rapids,Iowa,2020-05-27,0
Cedar Rapids,Iowa,2020-05-28,0
Cedar Rapids,Iowa,2020-05-29,1
Cedar Rapids,Iowa,2020-05-30,0
Cedar Rapids,Iowa,2020-05-31,0
Cedar Rapids,Iowa,2020-06-01,0
Cedar Rapids,Iowa,2020-06-02,0
Cedar Rapids,Iowa,2020-06-03,0
Cedar Rapids,Iowa,2020-06-04,0
Cedar Rapids,Iowa,2020-06-05,0
Chadron,Nebraska,2020-05-26,0
Chadron,Nebraska,2020-05-27,0
Chadron,Nebraska,2020-05-28,0
Chadron,Nebraska,2020-05-29,0
Chadron,Nebraska,2020-05-30,0
Chadron,Nebraska,2020-05-31,0
Chadron,Nebraska,2020-06-01,0
Chadron,Nebraska,2020-06-02,0
Chadron,Nebraska,2020-06-03,1
Chadron,Nebraska,2020-06-04,0
Chadron,Nebraska,2020-06-05,0
Chagrin Falls,Ohio,2020-05-26,0
Chagrin Falls,Ohio,2020-05-27,0
Chagrin Falls,Ohio,2020-05-28,0
Chagrin Falls,Ohio,2020-05-29,0
Chagrin Falls,Ohio,2020-05-30,0
Chagrin Falls,Ohio,2020-05-31,0
Chagrin Falls,Ohio,2020-06-01,0
Chagrin Falls,Ohio,2020-06-02,0
Chagrin Falls,Ohio,2020-06-03,0
Chagrin Falls,Ohio,2020-06-04,1
Chagrin Falls,Ohio,2020-06-05,0
Chapel Hill,North Carolina,2020-05-26,0
Chapel Hill,North Carolina,2020-05-27,0
Chapel Hill,North Carolina,2020-05-28,0
Chapel Hill,North Carolina,2020-05-29,0
Chapel Hill,North Carolina,2020-05-30,0
Chapel Hill,North Carolina,2020-05-31,0
Chapel Hill,North Carolina,2020-06-01,0
Chapel Hill,North Carolina,2020-06-02,0
Chapel Hill,North Carolina,2020-06-03,1
Chapel Hill,North Carolina,2020-06-04,0
Chapel Hill,North Carolina,2020-06-05,1
Charleston,South Carolina,2020-05-26,0
Charleston,South Carolina,2020-05-27,0
Charleston,South Carolina,2020-05-28,0
Charleston,South Carolina,2020-05-29,0
Charleston,South Carolina,2020-05-30,0
Charleston,South Carolina,2020-05-31,1
Charleston,South Carolina,2020-06-01,0
Charleston,South Carolina,2020-06-02,0
Charleston,South Carolina,2020-06-03,0
Charleston,South Carolina,2020-06-04,0
Charleston,South Carolina,2020-06-05,0
Charleston,West Virginia,2020-05-26,0
Charleston,West Virginia,2020-05-27,0
Charleston,West Virginia,2020-05-28,0
Charleston,West Virginia,2020-05-29,0
Charleston,West Virginia,2020-05-30,1
Charleston,West Virginia,2020-05-31,1
Charleston,West Virginia,2020-06-01,0
Charleston,West Virginia,2020-06-02,0
Charleston,West Virginia,2020-06-03,0
Charleston,West Virginia,2020-06-04,0
Charleston,West Virginia,2020-06-05,0
Charlotte,North Carolina,2020-05-26,0
Charlotte,North Carolina,2020-05-27,1
Charlotte,North Carolina,2020-05-28,1
Charlotte,North Carolina,2020-05-29,1
Charlotte,North Carolina,2020-05-30,1
Charlotte,North Carolina,2020-05-31,1
Charlotte,North Carolina,2020-06-01,0
Charlotte,North Carolina,2020-06-02,0
Charlotte,North Carolina,2020-06-03,0
Charlotte,North Carolina,2020-06-04,0
Charlotte,North Carolina,2020-06-05,0
Chattanooga,Tennessee,2020-05-26,0
Chattanooga,Tennessee,2020-05-27,0
Chattanooga,Tennessee,2020-05-28,0
Chattanooga,Tennessee,2020-05-29,0
Chattanooga,Tennessee,2020-05-30,1
Chattanooga,Tennessee,2020-05-31,1
Chattanooga,Tennessee,2020-06-01,0
Chattanooga,Tennessee,2020-06-02,0
Chattanooga,Tennessee,2020-06-03,1
Chattanooga,Tennessee,2020-06-04,0
Chattanooga,Tennessee,2020-06-05,0
Cheyenne,Wyoming,2020-05-26,0
Cheyenne,Wyoming,2020-05-27,0
Cheyenne,Wyoming,2020-05-28,0
Cheyenne,Wyoming,2020-05-29,1
Cheyenne,Wyoming,2020-05-30,1
Cheyenne,Wyoming,2020-05-31,1
Cheyenne,Wyoming,2020-06-01,0
Cheyenne,Wyoming,2020-06-02,0
Cheyenne,Wyoming,2020-06-03,0
Cheyenne,Wyoming,2020-06-04,0
Cheyenne,Wyoming,2020-06-05,0
Chicago,Illinois,2020-05-26,1
Chicago,Illinois,2020-05-27,1
Chicago,Illinois,2020-05-28,1
Chicago,Illinois,2020-05-29,1
Chicago,Illinois,2020-05-30,1
Chicago,Illinois,2020-05-31,1
Chicago,Illinois,2020-06-01,1
Chicago,Illinois,2020-06-02,1
Chicago,Illinois,2020-06-03,1
Chicago,Illinois,2020-06-04,1
Chicago,Illinois,2020-06-05,0
Chula Vista,California,2020-05-26,0
Chula Vista,California,2020-05-27,0
Chula Vista,California,2020-05-28,0
Chula Vista,California,2020-05-29,0
Chula Vista,California,2020-05-30,0
Chula Vista,California,2020-05-31,0
Chula Vista,California,2020-06-01,0
Chula Vista,California,2020-06-02,0
Chula Vista,California,2020-06-03,0
Chula Vista,California,2020-06-04,1
Chula Vista,California,2020-06-05,0
Cincinnati,Ohio,2020-05-26,0
Cincinnati,Ohio,2020-05-27,1
Cincinnati,Ohio,2020-05-28,1
Cincinnati,Ohio,2020-05-29,1
Cincinnati,Ohio,2020-05-30,1
Cincinnati,Ohio,2020-05-31,1
Cincinnati,Ohio,2020-06-01,0
